stars;text;title;totalScore
5;"??????? ??????? ????????????? ?????????? ????????? ? 1279 ?? ???????? ????? ???????? ??????? ?? ?????????.[4]

????????? ??????? ?? ???????????? ?? ????? ????????? ?????????? ?????? ?????? ?????????????, ?? ??????? ?????? ???????[de], ???? ??? ?????? ? ?? ??? ??????????.

??????? ? ??????? ????????? ???????? ???????? ????????????, ????? ?? ??????????? ???????-?????????? ????????? ?????? (Filiberto Luchese) (Leopoldischiner Trakt), ???????? ????????? (Lodovico Burnacini) ?? ??????? ? ???????? ???????, ???????????? ????? ?????? ????? ??? ???????????? ?? ????? ???????? ????? ??? ????? (????? ??????????????? ?? ?????? ??????? ?????), ????? ???????? ????? ??? ????? (??????????), ?? ??????????? ????????? ?????? ????? (�???? ????�) ??????????? ??? 1881 ?? 1913 ??????.";Hofburg Wien;4,7
4;Great place to visit;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Super Sache, sehr informativ und sehenswert;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
4;Eine andere Welt;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
4;Beautiful building and the the detail is amazing;Hofburg Wien;4,7
4;The Spanish Riding School is well worth a visit. The building is fantastic and arena is big so you can appreciate the work both the horses and riders do. It's wonderful. You can get tickets online in advance if you want to avoid disappointment.;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
3;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
4;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
4;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
4;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Ein wundersch�ner Ort in einer wundersch�nen Stadt. Architektur zum Staunen.;Hofburg Wien;4,7
5;??????, ???????? ????????? ????????! ????? ???????, ???????? ? ????????) ? ????????, ?? ? ???? ??????))) ????? ?????? ? ???? ?????, ??? ????????? ??????? ??? ??????);Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Seit der Renovierung eine top sightseeing location wiens;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
4;;Hofburg Wien;4,7
5;"Constru�do em meados do s�culo XIII, como um castelo-fortaleza medieval, o�Hofburg foi�ampliado no s�culo XX, tendo, ao todo, quase 3.000 salas. Durante esse tempo de exist�ncia, chegou a ser sede do Sacro Imp�rio Romano-Germ�nico e do Imperador da �ustria, at� se tornar sede oficial do Presidente da �ustria.

Na �rea de 20 hectares, que forma o pal�cio, est�o museus, apartamentos imperiais, capelas, uma biblioteca, um teatro, al�m de escrit�rios.

Apesar de muitos atrativos,�nossa dica � focar no Museu da Imperatriz Sissi, um dos melhores pontos tur�sticos de Viena, pois guarda um rico acervo com cole��o de pratas, vestidos, pinturas e outros tesouros que pertenceram aos Habsburgos � cada centavo investido na entrada vale a pena!";Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;We had a great Christmas party at the museum. Such a perfect venue.;Hofburg Wien;4,7
5;Je reviens de Vienne pour la session des bals ,nous y avons pass� une soir�e exceptionnelle le personnel est tr�s comp�tent;Hofburg Wien;4,7
5;Incredibile, maestoso ... Imperiale!;Hofburg Wien;4,7
5;Love it ??;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
4;;Hofburg Wien;4,7
5;Beautiful & breathtaking architecture. Must visit;Hofburg Wien;4,7
5;"??????? - ?? ?????????????? ????? ? ?????? ?????, ???? ? ???????? ???????????? ?????????? ??????? ?? ????????. ????? ??? ????????? ????????? ?????????? ??????, ??? ????? ?????????, ? ????? ?????? ??????????, ??? ???????????? ??? ??????? ???????.

? ???????? ??????? ?? ????? ???'??, ? ?? ??? ???? ??????????? ??????. ??? ???? ??????????? ????????? ?????? ??? ??????? ??????? ?? ?? ???????????, ? ????? ???????? ???????? ??????? ?? ???? ??? ?????.

???????, ???? ???????? ????????? ???? ??????? ? ???????? ???????????, ? ????? ????? ?? ???????????? ? ??????? ???????. ????? ?? ???? ??????? ????????? ?????? ?? ???? ???????? ???????????.

???????, ? ?? ???????????? ????????? ??????? ???????, ??? ?????????? ???????? ?? ????????? ???????. ?? ?????????? ?????, ??? ????? ???????? ? ????.";Hofburg Wien;4,7
5;Mogo?na pala?a z nepozabno zgodovino;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Nice;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Sehr weitl�ufiges, prunkvolles Geb�ude mit einer Vielzahl an Attraktionen und Sehensw�rdigkeiten. Erw�hnenswert sind vor allem die vielen Museen im Inneren. Alle sind die einen Besuch wert.;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
4;Beautiful architecture;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Fabulous palace full of history in the heart of Vienna. The architecture is really impressive, it definitely deserve your attention!;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Tolles Ambiente;Hofburg Wien;4,7
4;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
3;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
4;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Super Ambiente;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Kr�lewska rezydencja Hofburg w Wiedniu uciele?nia ca?? histori? Austrii. Na jej terenie znajduje si? dziewi?tna?cie pa?ac�w wzniesionych w r�?nych okresach oraz du?o innych budowli. Hofburg otoczony jest dwoma pi?knymi parkami Burggarten i Volksgarten. Aby uzyska? jasne pierwsze wra?enie na kompleks pa?acowy, lepiej podej?? do niego od strony Michaelerplatz. Per?? rezydencji jest skarbiec Hofburg. Znajduj? si? w nim symbole w?adzy: r�?d?ki, korony, cesarskie szaty w?adc�w Cesarstwa Rzymskiego i Austro-W?gier, przedmioty gospodarstwa domowego i religijne nale??ce do dynastii kr�lewskiej.;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Beautiful architecture.;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;ich war auf einem Event im Kongress Center. Tolle Organisation, wundersch�ne Location;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;One of the famous places you have to visit.;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Z�itek hlavn? pro d?ti ??;Hofburg Wien;4,7
5;Die Hofburg in Wien ist mit eines der beeindruckensten Sehensw�rdigkeiten. Durch seine prachtvolle und majest�tische Art, wird man in die Vergangenheit gezogen und erlebt ein fr�heres Zeitalter wieder.;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Dzie?o Habsburg�w.;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
4;;Hofburg Wien;4,7
5;Es ist einfach wirklich ein Traum. So wundersch�n hier.;Hofburg Wien;4,7
5;Nice.;Hofburg Wien;4,7
5;"Meraviglioso e tenuto davvero benissimo. Una delle tappe obbligate se si viene a Vienna. Consiglio la parte del museo di Sissi, sconsiglio le sale dove sono esposte le argenterie che sono un po' noiose (tutto il corredo di piatti, porcellane etc della principessa).
Noi abbiamo comprato il pacchetto che comprendeva oltre Hofburg anche il grand tour della residenza estiva (fuori Vienna). Quest'ultima merita di essere vista particolarmente.";Hofburg Wien;4,7
5;Biti u Becu a neposetiti Hofburg to znaci da niste bili u Becu;Hofburg Wien;4,7
5;Da italiano apprezzo come sono tenuti questi splendidi palazzi, dentro e fuori. Uno spettacolo solo vederli!!! Chiss� se esistono anche qui le Sovrintendenze come da noi ... :);Hofburg Wien;4,7
4;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
3;Los mexicanos ya no pueden entrar gratis a partir del 2023;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;"The dance ball was truly a magical experience! From the moment of entry to the last dance of the evening, there was a captivating atmosphere that drew all guests in. The music was fantastic and immediately invited people to dance. The live band played a great mix of classic and modern dance music, creating the perfect mood to hit the dance floor.

The decoration was breathtaking and created an elegant and romantic atmosphere that immediately captivated every guest. The venue itself was spacious and provided enough room for all guests to dance comfortably. The dance floor was large enough to accommodate many couples without feeling crowded.

The organizers did everything to ensure that the ball ran smoothly and guests felt comfortable. The staff was friendly and accommodating, making sure that the drinks and food were always fresh and delicious.

All in all, the dance ball was an unforgettable experience. From the beautiful atmosphere to the fantastic music and excellent service - everything was perfect! If you're looking for an unforgettable evening full of dance, music, and good company, I highly recommend this dance ball!";Hofburg Wien;4,7
5;Sissyausstellung sehr empfehlenswerte;Hofburg Wien;4,7
1;D��ue !! Nous �tions � Vienne pour un week-end et nous �tions au Hofburg mais on a pas pu le visiter car ce jour l� il y avait une d�monstration de police;Hofburg Wien;4,7
4;;Hofburg Wien;4,7
4;Ve?mi pekn� architekt�ra a budova s�nka dole . Ur?ite to stoj� za n�v�tevu aj pri?ahl� okolie proste n�dhera , moment�lne tam prebieha rekon�trukcia.;Hofburg Wien;4,7
4;Impresionante. Palacio majestuoso;Hofburg Wien;4,7
5;tremendo dibino ecsplendido el bersalles un poroto el bukinjam un poroto el espa�ol que noce el nombre un poroto muy muy lindo el megor de europa;Hofburg Wien;4,7
5;"Sehr sch�ner Ort, auch ohne ins Museum zu gehen. Das Sisi Museum in der Hofburg ist interessant, leider war es sehr voll mit Touristengruppen so das man sich nicht alles in Ruhe anschauen konnte.
Trotzdem kann ich den Ort sehr empfehlen";Hofburg Wien;4,7
4;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Immer wieder sehenswert...;Hofburg Wien;4,7
5;Historisch, sehr sch�n viele Sehensw�rdigkeiten;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Beautiful palace that is impressively large. Historically important too as Hitler spoke here when Austria was annexed by Germany.;Hofburg Wien;4,7
4;;Hofburg Wien;4,7
5;Hofburg saray? i�inde sisi m�zesi ve g�m�? oda i�in bilet ald?k. Farkl? b�l�mler i�in farkl? �cretler var. �ok beklemedik bileti al?p i�eriye girdik. �cretsiz olarak da??t?lan diafonlar var ama T�rk�e dil se�ene?i yok. Merkezde oldu?u i�in kolayca g�r�lebilir. Yeti?kin 16� �ocuk 10�. ?ubat2023�;Hofburg Wien;4,7
4;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;"????? ????? ?????????, ?????????.
???????, ?????.";Hofburg Wien;4,7
5;Hier schl�gt das Herz der Habsburger. Egal ob Sisi Museum, die Schatzkammer, der Spanische Reiterhof, hier ist alles fu�l�ufig erreichbar. Man kann den ganzen Tag hier verbringen.;Hofburg Wien;4,7
5;"?? ??????? ??? ?????? ?? ??? ?????? ???? ?? ????????.
? ???????? ??? ??????? ??? ??? ?????????.
???? ?????????,  ???? ?????????,  ???? ?????? ??? ????? ????? ????? ???? ??? ??? ???? ????!!!!
???? ??? ??????? ???? ??? ??? ????? ?????? ??? Sisis ??? ????? ???????????.
????????? ????? ????? ??????? ??? ????????? ??? ?? ??????? ???.

?? ????????? ??? ????????????? ?? ???? ??? ?? ?????? ????? ?????? ??? ?????????? ????????.
????? ????? ??? ????? ???? ???? ? ???? ???????.";Hofburg Wien;4,7
3;??????;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
4;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;????;Hofburg Wien;4,7
5;"Hofburg is an enormous complex, so i want to specify that to see the imperial apartments you have necessarily to go to the Sissi museum. All the arms and armor are divided between the actual imperial armory and the weltmuseum. Inside Hofburg you can also find the ""House of Austrian History"" wich is a beautiful museum about Austrian contemporary history (if you are interested, the visit can last for a long) the Library and a collection of greek and roman finds.";Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Closed in February;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Beautiful place and very interesting exhibition!;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Beautiful and elegant space for balls!;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Magnifique ch�teau.l audioguide est tr�s bien fait clair et concis. Jolie promenade toit autour.;Hofburg Wien;4,7
5;"Belle visite m�me si elle s effectue sans lumi�re du jour pour prot�ger les objets, peintures, boiseries, tissus et autres d�corations.
Tenues de Sissi
M�nage tentures pendant la visite
Visite qui va crescendo dans l int�r�t.
Pr�voir deux heures.";Hofburg Wien;4,7
4;Nice royal palace. Nothing special. If you saw one, you saw everyone. Photos not allowed inside;Hofburg Wien;4,7
4;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
1;Muss man wirklich der europ�ischen Rechtsradikalen Szene die Aufwartung machen?;Hofburg Wien;4,7
5;F�r einen Ball ist und bleibt die Hofburg die erste Wahl. Durch die Vielzahl der R�ume ist f�r jeden Geschmack etwas dabei.;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Absolutely positively one of the most impressive places out there;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Pi?kne miejsce! Trzeba zobaczy?, niedaleko jest pyszna kawiarnia Cafe Central kt�ra bardzo polecam w przerwie w spacerze po tym urokliwym miejscu ?? warto wzi?? tez klasyczny, austryjacki deser jab?kowy Apfelstrudel - niebo w g?bie ?? polecam , b?d? wraca? i do Cafe Central i do Hofburg;Hofburg Wien;4,7
5;Wahnsinnig sch�nes museum ??;Hofburg Wien;4,7
3;Das Sissi Museum wird �bersch�tzt. Ziemlich voll.;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
4;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;"Great ball location
A big part of austrian history";Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Very beautiful building, there were horses lined up in front of it. Felt like a fairytale.;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Ein MUSS f�r jeden Wien Besuch;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Ein Muss , wenn man Wien besucht;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
4;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
4;;Hofburg Wien;4,7
5;Meravigliosa bellezza!;Hofburg Wien;4,7
5;Sublime;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
4;Very crowded since 11:00 Sunday.;Hofburg Wien;4,7
4;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
4;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Cool area;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
4;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Ich habe das Morgentraining mit den jungen Lipizzanerhengsten angeschaut. Es war sehr eindr�cklich. Auch hohe Schule konnte ich beobachten.  Capriolen, Piaffen, Passagen, ... es war toll;Hofburg Wien;4,7
5;Meraviglioso!;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;??? ????? ???! ?? ?? ? ??? ???? ???????? ???? ? ??? ? ? ??? ???? ??? ?? ????? ???? ??? ???? ???? ??? ??? ???? ??. ??? ??? ?????? ???? ?? ??? ???? ????? ????? ??? ???? ????.;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
3;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
4;;Hofburg Wien;4,7
5;Die B�lle in der Hofburg sind immer ein Erlebnis in historischen R�umen! Mit etwas Tanzkenntniss macht es noch mehr Spa�!;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
4;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
4;"Magnifique Palais � visiter
Exposition permanente sur la Princesse Sissi
Si vous passez dans le coin, visitez la biblioth�que nationale ! (10 euros l'entr�e) ou pensez � r�server pour assister � un entra�nement de l'�cole espagnole d'�quitation";Hofburg Wien;4,7
5;;Hofburg Wien;4,7
1;"I do not recommend visiting. The staff inside is very rude. We did not see that it is not allowed to take photos and we took the phone out and the woman there started yealing, what is this if you do not want to take pics you should tell from the beginning, also what is the point visiting if we can not take any picture.
Also 16 euros per person for heavy 1 hour tour. This thing is nonsense that some say you neet 4 hours. The half of the route we were seeing only plates, forks and knives, such a waste of time and very expensive for what it is.
Last thing, this is not right, you are kidding people to double and triple charge them, the palace is one and they seperated in many different museums in order to pay many times different tickets, shame on you.
Also you have to do something about your manners if you want tourists and put some english you are in europe for god shake we are not abliged to know german";Hofburg Wien;4,7
5;Excellente visite tr�s bien faite;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Palau imperial de visita obligada, no es poden fer fotos a l'interior.;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Non si pu� non visitare il museo di Sisi posto al suo interno Ela meravigliosa esposizione di stoviglie imperiali. Giralo da ogni lato, Hofburg � il cuore del centro di Vienna. Bellissimo ed imponente, curato in ogni minimo dettaglio.;Hofburg Wien;4,7
5;Le monument est fastueux,  il vous emporte dans l'histoire de l'empire Austro-hongrois.;Hofburg Wien;4,7
5;wundersch�ner Ort mit historischem Flair und einem recht sympathischen Hausherrn;Hofburg Wien;4,7
5;Un sitio precioso, la visita del museo de Sisi y la plater�a incre�ble, la audioguia lo hace todo mucho mejor. Una visita imprescindible en Viena. Mejor comprar las entradas con antelaci�n y en el precio entra la audioguia.;Hofburg Wien;4,7
3;"Se si vuole visitare un museo-palazzo storia dell'impero asburgico e della principessa Sissi consiglio il Palazzo di Sch�nbrunn.
Se vi piace l'argenteria e le porcellane questo museo fa per voi";Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;"Palacio de invierno de la familia imperial donde tienes dos museos  para visitar,el de Sisi y el de la escuela de doma de caballos espa�oles lipizanos.
Muy cerca esta la biblioteca, IMPRESCINDIBLE  visitarla.";Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
4;?????? ????? ??? ????????? ???????;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
4;;Hofburg Wien;4,7
5;Unbedingt erleben. Auch als Nicht-Wiener �berw�ltigend....;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Da kann man nicht viel sagen,;Hofburg Wien;4,7
5;Me encant�;Hofburg Wien;4,7
5;??? ???? ??? ??? ??? ????? ????????? ????? ??????? ???? ?????? ?????. ??? ?????? ??? ?? ?????? ??? ?? ??? ??? ?? ??? ???? ?????? ???;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
3;?????? ???? ??? ???????? ?? ???;Hofburg Wien;4,7
4;It�s ball time and the ambience is great.;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
4;;Hofburg Wien;4,7
5;??????????????????????? ????????????????????????????????????????? ????????????????????? ???????????????????????????????????????? ??????????????????????????????????????????????????????????????;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Beeindruckende Baukunst;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Merece mucho los apartamentos de Sisi, la biblioteca nacional es magn�fica e impresionante, el mariposario solo regular, la representaci�n de la escuela de equitaci�n est� curioso, pero vistos los primeros 15 minutos, sobran los 45 minutos siguientes.;Hofburg Wien;4,7
