text;stars
Ganz nette Location. Aber mir wurde gesagt, dass meine Karte nicht funktioniert. Am Ende 73? abgebucht. Abzocke. Nicht zu empfehlen.;1
;4
"Eigentlich cool aber zu viele minderj?hrige.
Aber mehrere stages";3
Der Kasperl Inder am Pizzastand drinnen musste um 5 Uhr in der Fr?h meinen betrunkene /angetrunkene Leute abzocken zu m?ssen. Hat versucht f?r ne halbe Pizza 69? statt 6? zu verbuchen. Auf die Frage aus wessen Grund die verbuchte Menge zustande kommt wurde lautstark diskutiert und gesagt: ja du gesagt 6,90 oder?! Bruh also ob 69? = 6,90 sind du Tikka Masala alter. War zu dem Zeitpunkt schon ausgen?chtert sonnst w?re mir der Move von dem Zwiebelkopf wahrscheinlich nicht aufgefallen. Richtiges Armutszeugnis.;1
;4
"Bodenlose Frechheit!
Abgesehen vom offensichtlichen Rassismus und dem respektlosen Verhalten, kennen die Securitys/ T?rsteher kein Benehmen.
Nach der Ausweiskontrolle und die der M?nner ohne Staatsb?rgerschaft gesehen sofort ohne Worte die andere f?r ge?ffnet. Nachdem wir gewartet haben (weil wir nicht wissen was los ist) wurde uns einfach gesagt ""nix warum""
T?rsteher konnte selbst kein Deutsch und konnte sich nicht mit ins wie Menschen unterhalten.
Solche Menschen sollten abgeschafft werden!!!";1
"Gestern dortgewesen und es war so wie in den meist andere Rezensionen.
Drinnen gibt es zwar viele Floors aber die sind teilweise komplett ?berf?llt, es wird sehr viel geschubst, T?rsteher verrichten ihre Arbeit eher am Eingang und nicht an der Tanzfl?che wo man teilweise f?rmlich attackiert wird.
Kann es nicht wirklich empfehlen.";1
Interior is awesome, spacious and well organized. Music is basically radio edits and nothing special. Prices for drinks are relatively high but overall a good experience;3
;1
;5
;5
;4
"Very bad place, if you have dark skin and you are alone they will not let you in. They will say go buy.
Avoid this place";1
I very rarely came across rude or disrespectful people. I don't know how I slipped by all of them, but I honestly can't think of one experience off the top of my head that was like that. I'm sure they're there, but I'd have to think really hard to recall them.;1
;1
ho pagato l'entrata sabato sera 15 euro, possibilit? di usare il guardaroba per 2 euro. locale grande e con 3 piste da ballo con diverse offerte di musica. Discoteca collegata molto bene con la linea U1 che funziona fino a tarda notte;5
"What a great party place 
Great location, clean, fresh air, enough space and decent audience and party animals";5
I was really shocked.  I do not advise any tourist to come to Austria and especially this club.  They did not let me in because I am a stranger to the country, and not only I, but most of the tourists.  They taught me to check people mentality and culture they are racist and anti social with tourists bad experience never happened to me;1
;4
;5
;4
Unverantwortlich, lassen zu viele Jugendliche zum Yung Hurn Event. Panikattacken und zerquetschte Jugendliche ?berall.;1
;1
"T?rsteher nehmen ein Kunden und tragen ihn in die Ecke (vorne bei der Kassa), einer der T?rsteher Knallt ihn eine ins Gesicht und flippt dann voll unn?tig aus. So das der T?rsteher den Kunden verpr?geln m?chte und andere T?rsteher eingreifen m?ssen um deren Kollegen aufzuhalten!
Hatte schon von Freunden geh?rt das sowas ?fter passiert aber noch nie mit erlebt.";1
;4
;1
it was amasing night. 31th december on new years ave i was in Prater Dome. 3 spaces for different music rooms. security and stuff was very friendly and kind. prices was normal and great atmosphere. ?? Thanks;5
;4
Bar tenders refused to serve me tap water that I needed for my medicines. Fun thing is that they had no problem to  serve us tap water previously when we ordered drinks. I find this totally unacceptable.;1
"Anzeige ist raus.

Vor einigen Wochen dort gewesen. An sich nicht allzu viel auszusetzen, abgesehen vom client? und zu schwachen drinks. Als ich allerdings nach Hause gehen wollte und ein wenig frech zu den T?rstehern wurde als es ein Missverst?ndnis mit der bezahlkarte gab, wurden diese erst handgreiflich und drohend, doch lie?en mich dann pl?tzlich ohne viele Worte gehen. Ich dachte mir super endlich bin ich da raus, doch etwa 100 Meter nach dem Club wurde ich von hinten mit einem Gegenstand gegen den Kopf geschlagen und mehrere Male auf mich eingetreten. Gott sei dank kamen ein paar Minuten sp?ter Menschen vorbei und riefen den Krankenwagen. Ich erlitt eine schwere Gehirnersch?tterung sowie mehrere Prellungen und 2 fette Beulen. Eine Anzeige f?hrte (bisher) nat?rlich ins Leere, da ich meine Angreifer nicht eindeutig gesehen habe.
Daher als Warnung f?r jeden der diesen Nachtclub besucht: seid lieber zu freundlich zu den T?rstehern, denn diese rasten anscheinend schon bei der kleinsten Respektlosigkeit aus.
Neandertaler.";1
Nice club;4
Richtige Hunde  hab 3 Schals verloren und musste Polizei rufen wegen meiner Jacke und wegen Handgreiflichkeit;1
;5
;1
"Bodenlose Frechheit!
Obwohl wir bezahlte Tickets hatten, wurden 2 meiner Freunde mit Serbischem Pass nicht reingelassen.
Nach einer Diskussion mit dem T?rsteher wurde der Rest der Gruppe inklusive mir an den Armen gepackt und rausgeworfen.
Mir w?rde es nicht im Traum einfallen hier je wieder zur?ckzukommen. Zus?tzlich k?nnen Sie sich darauf einstellen, dass ich negative Werbung verbreiten werde.";1
Zu allererst der club besitzt keine t?rpolitik daher kommt jeder rein(Meistens kein gutes vorzeichen). Der club ist sehr gro? und daher nicht besonders ?bersichtlich, ob man dies mag ist nat?rlich geschmackssache. Die musik ist nicht wirklich gut. Das allgemeinbild ist einfach nicht gut. Zum schluss negativ ist noch das bezahlsystem hierbei verliert einfach jeder mensch der alkohol konsumiert die kontrolle. Fazit: ich komme nicht wieder.;1
;5
Proleten;1
most racist club in vienna, securities are very rude and get violent very quickly. I have visited this club many times and everytime i saw a lot of people getting kicked out for no reason. Just because they were black,turkish,indian,? even my boyfriend wasnt allowed to go inside with me just because of his beard. This is embarrassing. And they should be ashamed.;1
"Went there for New Years Eve 2022/23 and it was absolutely bad organized. Even tho we got our tickets a month ago, we had to stand in line for about an hour, together with people who didn?t even have a ticket yet.
When we finally got inside, we couldn?t give our jackets to the wardrobe cause they didn?t have room anymore.
Inside it was okay, pretty crowded but that?s normal on New Years.
When we wanted to leave, we had to stand in line AGAIN and the wardrobe was a total chaos.
And a lot of the staff members were pretty rude.
Wouldn?t recommend this club for New Years.";1
Worst pub ever , even after registering they simply not allowing Asians inside for the new year evening , not even have an option to get the refund;1
Sie lie?en uns nicht rein, weil der Freund einer Freundin einen arabischen Ausweis hatte. Und es ist 2023. Dieser Nachtclub hat es wahrscheinlich noch nicht in dieses Jahr geschafft;1
;5
"Silvesterparty: Sehr Sehr schlechte Orga. Trotz Ticket im Vorverkauf musste man zusammen mit den Leuten, die noch kein Ticket haben, anstehen. ?ber 1h Wartezeit, Schlange total un?bersichtlich. An der Gaderobe konnte man einfach seine Jacke nicht mehr abgeben, weil keine Kleiderb?gel mehr da waren. Auch zum rausgehen musste man wieder 20 min warten, um ?berhaupt mit seiner Karte zu zahlen.
Kein guter Abend";1
"Selbst Spotify macht bessere ?berg?nge als der sogenannte DJ.
Bedienungen v?llig ?berfordert und berechnen dazu noch teurere Getr?nke. Einmal und nie wieder!";1
Party was nice as I'm used too.. DJ was commercial sh** as I'm used too:/;3
The worst place ever! The raciest experience ever;1
Foarte plictisitor! Lipesc minimalele!!!;2
Absolut f?rchterlich, wollte zu der neon party, wurde bevor ich ?berhaupt drinnen war von den securities wegen meiner religion beleidigt und beschumpfen, einer wollte dann das ich mit ihm mitgehe (warscheinlich um mich zu verpr?geln), dann endlich beim eingang wollten die dass ich meine getr?nke wegwerfe weil es anscheinend keine garderobe gibt, bin wieder nachause gegangen.;1
Ist gut hier nur mega teuer;3
;4
definitely recommended, a huge and different place, each room has it's own idea and planned accordingly. we went on 23th December that's why it was not so crowded but we had fun tho;4
;1
;4
;5
Very fashionable night club, several dance floors, affordable prices, average age is around ,25 yo. Music is great.;4
Sehr gute Toilette, da kann man auch Schlafen.Wollte 6 Sterne geben aber leider nur 5 m?glich.;5
;5
Wiens unangefochtene Nr1.;4
Einfach rassistische Security und wir wurden nicht reingelassen weil nicht ?sterreicher;1
Initially enjoyed the experience until we were all overcharged for our drinks and had to pay for additional drinks we did not have. We were forced out the door after paying a total nearly twice what we consumed without being listened to while we politely tried to explain the mistake. Will not be returning.;1
;5
Location hoiwegs leiwond, aber 3h auf eine flasche Jacke warten ist bodenlos. Vor allem wenn man die Jacke 3h beschreibt und keiner sich richtig darum k?mmert!;2
;1
69/420;5
Nice, aber nichts besonderes;4
Besonderes Lob gilt dem tollen Barpersonal im Stadl - genau genommen Patrick von der linken Bar! Wahnsinnig ehrlich sympathisch, hat Spa? bei der Arbeit und macht einfach einen absolut tollen Job! Es w?rd viel mehr Barpersonal brauchen, die es so leben wie er :);5
Ich bin mir sicher die d?rfen nicht so viele leute reinlassen! Ich wollte raus und es gab einen ausweg, man musste 2h warten bis man raus kam. Es war wirklich nur ganz kurz bevor eine massenpanik ausbrach, das schlechteste sicherheitskonzept ?berhaupt! Nie nie wieder, schrecklichster club!;1
Ein Begleiter zahlte mehr Eintritt, ein anderer zuviel bei den Drinks. Besuch war spontan bei einem Wien-Trip und muss kein zweites mal rein. T?rsteher waren ok zu uns;2
"The worse disco in Vienna. I have been twice. The first time someone stole my jacket, the second time someone stole my drink card. They spent almost 100 euros on drinks. At the exit the people of the disco forced me to pay if I wanted to leave, holding me on hostage, and if I called the police they would ask for an extra 300 euros. I paid the 100 euros and they didn't even give me a receipt.
Avoid this disco there is no control at all and especially for foreign people.";1
Die Musik ist wirklich nicht sehr nice.;2
"Huge club with nice music, different dance floors, good sound system
The only problem was the people's behavior, unfortunately the event that night was over 16 and all those teens just enjoyed pushing and throwing themselves to people...";4
;5
;5
Top Club;5
unangenehme erfahrung;1
Man bekommt Panikattake, zu viele Leute, man kommt nie wieder raus nachdem man reinkam;1
?berf?llt w?rde den Zustand des Clubs nicht ansatzweise genug beschreiben beim Yung Hurn Event. Warten bis 2 Uhr morgens f?r einen 30 min Auftritt !! Randvoller Dancefloor mit Atemnot und komat?sen Leuten die auf die Stage gezogen wurden. Dazu noch echtes Risiko zertrampelt zu werden. Den Club zu verlassen hat, mit bezahlen + Gadarobe, EINENTHALB STUNDEN gebraucht. Extrem unfreundliches Personal und ?berteuerte Preise. Grottenschlechte Erfahrung und definitiv reine Geldmache!;1
So eine Frechheit dieser Club... Ohne Worte, das Personal ist so unfreundlich und asozial. So ein respektloses Verhalten von angeblich erwachsenen Menschen zu erleben ist unzumutbar!!! Wieso 14 j?hrige Kinder in den club reingelassen werden muss man auch nicht verstehen aber sie lassen auch wirklich jede weibliche Person mit Ausschnnitt rein. Kompletter schmutz;1
"Praterdome ist der beste Club in ganz Wien. Viele Floors mit unterschiedlicher Musik, man f?hlt sich so, als w?re man in mehreren Clubs gleichzeitig. Die Temperatur ist auch immer, wenn ich dort war, im Vergleich zu anderen Clubs, besser temperiert gewesen.

Grunds?tzlich kann ich diesen Club nur empfehlen, da man normalerweise auch gut reinkommt.
Beim 7 Jahre Schwarzlicht Event lief aber leider alles schief, was nur schieflaufen konnte. Selbst mit Online-Ticket/Band kam man nicht vor jenen, die an der Abendkasse ihr Ticket kaufen, rein, obwohl dies in der Regel so ist. Es wurde auch nie gesagt, dass der Club einmal voll sei, alle, die anstanden, wurden reingelassen. Aus finanzieller Sicht verst?ndlich, allerdings f?hrte das beim Auftritt von Yung Hurn zu einigen Verletzungen, da keinerlei Zivilcourage vorhanden war und es viele gab, die die anderen mit voller Kraft gegen W?nde oder andere gepresst haben, schade. Man bekam teilweise keine Luft mehr, das muss wirklich nicht sein.

Ansonsten kann ich den Club empfehlen, aber bei Special Events kann es sein, dass man eben, wie beim Auftritt von Yung Hurn, schlechtere Erfahrungen in Kauf nehmen muss.";4
Bei der gestrigen Veranstaltung waren unter 16 j?hrige die st?ndig gesto?en haben ? der Club war ?berf?llt auf der Tanzfl?che wird man st?ndig angerempelt weil viel zu viele Menschen drinnen sind und man kommt kaum wieder raus. Getr?nke sind ?berteuert. Nie wieder und kann ich nicht empfehlen.;1
"Ja was soll ich sagen. War neulich den 12. 11. Robin Schulz Konzert im Prater Dom. Security hat versucht T?nzerinnen in die Mitte der Tanzfl?che zu bekommen. Ich und meine Freundin standen im Weg und weil ich nicht ausweichen konnte ohne meine Freundin an der Wand zu zerdr?cken bin ich stehen geblieben. Da der T?r Steher dann nicht vorbei kam, hat er mir so stark auf den Hinterkopf geschlagen das ich mit meiner Stirn gegen die Nase meiner Freundin geprallt bin. Bei mir is alles OK, aber die Nase meiner Freundin ist jetzt blau.

Hab aber ein Foto von dem netten Herren, der es nur verdient, seinen Job zu verlieren.";1
einfach nein!!!!;1
nein!;1
Sie geben mir keinen Bon f?r die Garderobe und wollen mir dann meine Jacke nicht mehr geben.;1
komplett opfrig, fast verreckt;1
;5
"0 Sterne
Musik zwar gut, aber daf?r der Rest nicht...
Die Schwarzlichtparty mit Yung Hurn war viel zu ?berf?llt, meine Freundin hatte fast einen Nervenzusammenbruch. Da alle zur ""Mainstage"" wollten und auch ur gedr?ngt haben. Auch gef?hlt alles Vollidioten, die gedacht haben sie seien die wichtigsten... Schade";1
Der Club hat nichts mit Kundenfreundlichkeit zu tun, bin dort zuerst 2 stunden bei 6 Grad in der schlange gestanden obwohl meine freunde und ich schon im Vorhinein armb?nder gekauft hatten, nur das mir der T?rsteher dort sagt, dass ich dort mit meiner hose (?brigens eine ganz normale die andere auch tragen und die ohne Probleme rein kamen) nicht reinkomme. Dann schiebt mich der Guard auf die seite und l?sst mich da stehen und ignoriert mich einfach, dann kam mein freund der schon drinnen war heraus um mit mir zu reden weil wir uns ?bers handy nicht verstanden und wird auch einfach so rausgeworfen, danke prater dome, dass ich mal wieder 15? in den sand setzen durfte und ihr einen tollen abend mit freunden ruiniert habt, sch?mt euch. Mein Appell an ALLE die dort hingehen wollen: sucht euch ein Ausweichprogramm, weil die Security ca. jeden 5ten einfach so rauswirft;1
;4
;1
;1
Sound und Lichtanlage spitze!;5
Gute Musik, gute Stimmung, nettes Personal und Publikum. War das letzte mal vor ca 8 Jahren vor Ort und es hat sich zu positiven ge?ndert!;5
Hier wird Rassismus wird gro? geschrieben. Die zei schwarzk?pfe kommen nicht rein aber daf?r die zwei blonden mit blauen augen. Ganz klar. Mittlerweile sind die T?rseher ausl?nder und lassen keine aul?nder rein. Welcome to Austria. Traurig.;1
echt cool und unterhaltsam, gute Musik,  sch?n laut, mir hat es gut gefallen;5
Check for the daily music, it's alright;3
Mega Stages mit coolen DJ's. Leider zu Wahnsinnigen Preisen. Nachts um 4 Uhr wurden uns noch ?ber 20 Euro Eintritt abgek?pft.  Die Preise indoor sind f?r einen ottonormal Verbraucher viel zu hoch. Nicht zu empfehlen.;3
The worst place to go, they hate foreign people and they won't let you get in. Very BAD!!;1
;5
"A truly amazing club. A must-go place of you're visiting Vienna and looking to have some fun. Their drink offerings are very reasonably priced, especially when compared to some other popular places. Entry is only 13?. You get a card which you can use to pay and when you leave you can either pay in cash or via credit card. (Google Wallet is supported too)
The light show is state of the art, unlike anything I've seen so far. I really do recommend it very much so.";5
;5
"Also alles andere als ein Club f?r jeden!!!!
Sind zu 3 dorthin keinen von uns sieht auch nur ansatzweise gef?hrlich aus oder war ?ber 180cm... wir sind trotzdem nicht reingekommen weil wir einen T?rken dabei hatten und wurde gesagt ohne Reservierung geht nichts obwohl nach uns eine 5er Gruppe ohne Reservierung einfach reingekommen ist waren nat?rlich nur ?sterreicher. Nicht zu enpfehlen";1
Never felt racism like this in 30 years of my life! They told us go home just because of our foreign ids. The most insulting behaviour i have ever experienced, and it was in my brother's wedding celebration! Very sad and shocked;1
Never felt racism like this in 30 years of my life! They told us go home just because of our foreign ids. The most insulting behaviour i have ever experienced, and it was in my wedding celebration! Very sad and shocked;1
????? ????? ????,?????? ??? ????? ?????? ???? ???? ??? ?? ???? ?????.?? ?? ????? ?? ???? ??? ?????? ?????...???? ????;1
"Nicht einmal einen Stern wert.
2 Freundinnen und ich haben zu Halloween (31.10)  2,5 Stunden in der Schlange gewartet und sind trotz Verkleidung nicht reingekommen. Wir hatten nichts auff?lliges an und die T?rsteher haben uns gesagt, dass wir nicht reinkommen, weil es zu voll ist. Die Gruppe neben uns mit mindestens 5 Leuten sind ohne Probleme reingekommen.
Die T?rsteher sollten sich mal einig werden, in der Zeit h?tten wir wo anders hinfahren k?nnen.";1
"Eigentlich kein stern.
Die T?rsteher glauben oag die sind die ?rgsten dort. Behandeln Kunden die viel viel geld dort lassen wie m?ll. Obwohl man h?flich ist und respekt zeigt.";1
;5
"?????? ?????, ? ??????? ? ?????-???? ????. ???????? ???????? ???????? ? ?????, ??????? ???? ???????? ?? ?????? ????????. ???? ?? ?????? ????????? ??????????? ? ???? ? ?? ????????? ???? ? ????? ?????. ????????? ?? ????????????, ?????????????. ?? ?????? ? ??? ?????. ? ??? ???? (!!) ????? ? ??????? ???????. ?????? ?????, ? ???? ???? ?? ????? ?????? (????? ????). ?????? ??????, ?? ??? ????????? ??? ????? ?????? ?????? ?????????? ?????? ????? ?? ?????????. ??????, ??????.
???????? ??????? ???????? ?????? ?????????? ?????. ???? ?? ??????? (??? ?) ??? ????? ???????, ???????, ???????, ??????, ????? - ??? ??? ????? ?? ????. ?????? ???. ?? ????, ??? ?? ????? ?????????. ?????? ???????? ?? ???????? ??? ????? ?? ?????????, ????? ?? ???? ??????, ?? ??? ??? ????????.

?????????? ????? ???
??? ???????? ? ?????????? ??????, ? ?? ?? ???? ????-????.

??????, ?????????? ?????. ? ???? ???????? ??????? ? ??????. ???????, ?????, ??? ?????? ??????? ??????? (???????? ?? ??????? ?????, ??? ?? ????? ?????). ? ?????? ??????? ?? ?????????? ??????-?????.
??????? ?????? ????????? ? ?????-?? ?????-????????, ????????? ??-??????, ????? ??????????? ?? ??? ???, ??? ???????? ? ???????? ????????. ????? ?????? ???-?? ?????? ??????.
?????? ??????? ?? ??????? ???? ? ?????? ????, ? ???? ????????????? ???????.
???? ?????? ??? ? ?????? ?? ????????????? ?????? ???? ?????????";1
Rasist local!!!;1
Racist personnel at the entrance! They looked at our documents and said that we don?t ?qualify?!!;1
Nu ai voie sa intri un grup de 5 baieti si te pune sa astepti. Foarte nesimtiti;1
Racist local!!;1
Rasist local !;1
;1
;1
Nice place to party;4
;5
;5
;5
;5
Schludnie ubrany, wg dress code, po sprawdzeniu dowodu osobistego, Polak ? W lewo.;1
Schon irgendwie lame und peinlich im Jahr 2022 noch rassistisch zu sein und eh klar das wenn man nix erreicht hat im Leben, das man als T?rsteher  seinen ?rger an die Kunden auslassen muss , sp?ter dann noch in mamis zu Hause schlafen und abends vor T?ren wichtig machen :);1
"Der Club hat eigentlich eine coole Atmosph?re aber im Jahr 2022 noch so rassistisch zu sein ist einfach unterste Schublade.
Die Gruppe Jungs hinter uns ist nur wegen ihrer Herkunft nicht in den Club gelassen worden.
Obwohl die Mehrheit des Personals selbst Migrationshintergrund hat, so beschr?nkt zu sein ist unfassbar.
Ebenso wird mehrfach versucht, mehr Geld auf die Karten zu buchen als die Getr?nke gekostet haben.
Ich w?rde dem Besitzer empfehlen weltoffener zu sein, ansonsten schie?t er sich mit diesem Verhalten ins eigene Bein.";2
;5
"???????? ????? ?? ?????? ??? ??? ?? ?? ????? ????? ??? ?????? ????? ?????? ?????? ??????!

??? ??????!";1
Unfreundliche Kellner unten beim Techno Bereich;1
Sehr professionelle Mitarbeiter. Intelligente, freundliche G?ste. (auch junge Leute);5
Treat bad security guards without any reason, resist's people;1
;4
Coole gschicht;5
;5
Una basura porque te intentan estafar por todo, me cobraron 10? de m?s aparte de la entrada por decirme que la bebida incluida era gratis y no ten?a que pagarla tanto como una camarera como un hombre mayor, al final pague 10? porque me lo pusieron a cargo de la tarjeta que perd? y no me dieron soluciones, adem?s de estar vac?a. Un 0;1
Leider wurde, mittlerweile beim 6. Besuch, wiedermals ein Kumpel vom Club abgezogen. (Jackenkarte wurde abgenommen, musste danach jedoch ?ber 4x so viel zahlen) Absolut keine Empfehlung, kommt leider zu oft vor.;1
"Leider wurde mir 2 besuche hintereinander geld vom Konto abgezogen!!
Falls sie den Club besuchen konsumieren sie lieber nichts, da automatisch Trinkgeld gegeben wird. Ich habe ein Getr?nk um 10? konsumiert und am Schluss beim rausgehen 34? gezahlt!!!
Abzocker Club!!!";1
;1
;5
Hohe Preise sind noch in Ordnung - penetrantes Trinkgeldfordern der Angestellten geht nicht mehr. Stimmung passt eigentlich.;3
;1
ich w?re rein gekommen, mein freund und seine schweszer nicht da sie nicht wiesntauglich angezogen sind, obwohl ich auch nichts wiesntaugliches anhatte.;1
;5
;5
Es sind viel zu viele Leute, man kann sich fast nicht unterhalten  nix f?r mich,einmal gesehen brauche ich nicht;2
VIP Service im RnB / Hip Hop GANZ SCHLECHT;1
;5
;1
;3
Ganz ehrlich, es muss einem gefallen oder nicht, ist auf jeden Fall sehr divers, gute Leute schlechte Leute, ich w?rde auf jeden Fall nicht allzu betrunken dort sein, sonst verirrt man sich lol;3
"RACIST AND RUDE, terrible service, the bouncer is insanely rude, I bought 2 tickets and I was denied entry for ""no reason"" AKA the place allow only white people. This is terrible, don't waste your time going here. They are RACIST, please don't support this racist establishment, regardless if it's a fun place to hang out at or not.";1
My card got stolen right after entering club -> went to info and was told to pay 150? for alchohol spent on the card I had gotten. Small dancing space as people were too close to actually dance. Bad experience overall as music was also not fitting for clubbing.;1
Gute Stimmung T?rsteher nett und freundlich und nicht all zu teuer vorallem bei gro?en DJs sind die Tickets echt g?nstig! Sonst eher junges Puplikum.;4
;5
"Man muss mindestens einmal im Praterdome gewesen sein! Pflichtprogramm. Mehrere Floors mit verschiedenen Musikrichtungen. Eine Terrasse mit Au?enbereich. Im Winter sogar beheizt und eine Bar ist auch drau?en. Viele Klos auch f?r Frauen - keine langen Schlangen. Es gibt auch einen eher ruhigeren Bereich (Lounge) in der Mitte.
Man zahlt nicht direkt an der Bar, sondern es wird alles auf eine Karte hochgeladen. Wenn man viel trinkt, verliert man schnell den ?berblick und wird dann beim Gehen an der Kassa von der Rechnung ?berrascht. Wenn man die Karte im Club verliert, wird das sehr teuer.";4
Nice club with different rooms and enough space to dance freely, there's also an access to the outside which is cool. We went to see Lost Frequencies so no idea how it is the other nights;4
Nirgendwo stehen Getr?nkepreise. Am Ende wird man dann an der Kasse abkassiert und zahlt dann 60? f?r 5 Getr?nke. Rechnung bekommt man dann auch nicht. Wirklich interessant dieses System;1
Bis auf den Ton ganz ok :);4
;5
;1
"Das Personal welches in diesem Club arbeitet muss man erlebt haben. Die Kellner buchen sich beinhart ohne zu fragen Trinkgeld auf die Karte und werden dann noch pampig zu einem als Kunde wenn man eine Rechnung verlangt.
Das ist aber nichts gegen die T?rsteher. Die glauben anscheinend sie stehen sogar ?ber dem Gesetzt und k?nnen tuen und lassen was sie wollen. Konnte beobachten wie ein T?rsteher beim Eingangsbereich mit einem Gast zuvor normal gesprochen hat. Mitten im Gespr?ch sah man den T?rsteher pl?tzlich die Hand heben und auf den Gast einschlagen. Was ist das bitte f?r ein Umgang mit Menschen? In diesem Club sieht man seine Gesundheit von dem hier arbeiteten Personal als Gast gef?hrdet.

Werde diesen Club ab sofort mit einem gro?en Bogen meiden, so ein Verhalten sollte man echt nicht mehr unterst?tzen.";1
Kuckuck du kleine schlampe?. Die haben mein Kniee gebrochen. 2 Stunden rumgeheult 10 min Spa? gehabt;1
"They didn?t let us in because they?re racist
We speaked Hebrew next to them and suddenly they kicked us out of the line
Don?t go near this place";1
The Best Nightclub in Austria. Had an amazing night. Music Tracks was very good and updated. Entry was 13? and drinks were charged additional.;5
;4
;5
Klub liess viel zu viel Menschen rein? M?hsames herumgestosse und schlechte DJs.;1
Gibts viel besser clubs , w?rde auch davon abraten reine zeitverschwendung t?rsteher einfach nur unh?flich und machen ihren job nicht richtig , ich frag ihm warum mann ihn den club nicht reinkommt , meinte er daraufhin 23 aber noch immer zu klein und hat mich nicht reingelassen sehr unversch?mt jemanden wegen der gr?sse nicht reinzulassen;1
;5
;5
;5
